area,cru,type,couleur,age_min,age_max,t_min,t_max,glass_type,comments,color
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,sec,blanc,1.0,3.0,8.0,11.0,,,blanc
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,sec,rosé,2.0,4.0,10.0,13.0,,,rosé
Blaye,Blaye,sec,rouge,5.0,10.0,15.0,15.0,Bordelais,,rouge
Blaye,CÔTES-DE-BLAYE,sec,blanc,3.0,5.0,8.0,11.0,,,blanc
Blaye,Blaye-Côtes-de-Bordeaux,sec,rouge,5.0,10.0,15.0,15.0,,,rouge
Blaye,CÔTES-DE-BORDEAUX,sec,blanc,3.0,5.0,8.0,11.0,,,blanc
Bourg,CÔTES-DE-BOURG,sec,rouge,5.0,20.0,15.0,16.0,,,rouge
Bourg,CÔTES-DE-BOURG,sec,blanc,3.0,10.0,10.0,12.0,,,blanc
Bourg,Bourgeais,sec,rouge,3.0,10.0,15.0,0.0,,,rouge
Bordeaux,Bordeaux rosé,sec,rosé,1.0,3.0,8.0,11.0,Bordelais,,rosé
Bordeaux,Bordeaux Blanc,sec,blanc,3.0,5.0,8.0,11.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux,sec,rouge,3.0,5.0,14.0,16.0,Bordelais,,rouge
Bordeaux,Bordeaux clairet,sec,blanc,1.0,3.0,8.0,11.0,Bordelais,,blanc
Bordeaux,Bordeaux,moelleux,blanc,5.0,15.0,10.0,13.0,Bordelais ; INAO,,blanc
CRÉMANT-DE-BORDEAUX,CRÉMANT-DE-BORDEAUX,effervescent,blanc,1.0,3.0,6.0,8.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux Haut-Benauge,sec,blanc,5.0,15.0,8.0,11.0,Bordelais,,blanc
Bordeaux,Bordeaux Haut-Benauge,moelleux,blanc,5.0,20.0,10.0,12.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux supérieur,sec,blanc,3.0,7.0,10.0,13.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux supérieur,sec,rouge,5.0,15.0,15.0,15.0,Bordelais,,rouge
CÔTES-DE-BORDEAUX,CÔTES-DE-BORDEAUX,sec,rouge,5.0,15.0,15.0,15.0,Bordelais,,rouge
Cadillac,Cadillac,doux,blanc,5.0,30.0,10.0,13.0,Bordelais ; INAO,,jaune
Cadillac,CADILLAC-CÔTES-DE-BORDEAUX,sec,rouge,5.0,10.0,15.0,15.0,Bordelais,,rouge
CÔTES-DE-BORDEAUX-SAINT-MACAIRE,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,sec,blanc,3.0,5.0,8.0,11.0,,,blanc
CÔTES-DE-BORDEAUX-SAINT-MACAIRE,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,moelleux,blanc,5.0,15.0,10.0,13.0,,,blanc
CÔTES-DE-BORDEAUX-SAINT-MACAIRE,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,doux,blanc,5.0,30.0,9.0,12.0,,,jaune
Entre-deux-Mers,Entre-deux-Mers,sec,blanc,2.0,5.0,8.0,11.0,,,blanc
Entre-deux-Mers,Entre-deux-Mers Haut-Benauge,sec,blanc,3.0,7.0,8.0,11.0,,,blanc
GRAVES-DE-VAYRES,GRAVES-DE-VAYRES,sec,rouge,1.0,5.0,14.0,16.0,,,rouge
GRAVES-DE-VAYRES,GRAVES-DE-VAYRES,sec,blanc,1.0,3.0,8.0,10.0,,,blanc
GRAVES-DE-VAYRES,GRAVES-DE-VAYRES,doux,blanc,3.0,10.0,10.0,12.0,,,jaune
Loupiac,Loupiac,doux,blanc,5.0,20.0,9.0,11.0,,,jaune
PREMIÈRES-CÔTES-DE-BORDEAUX,PREMIÈRES-CÔTES-DE-BORDEAUX,moelleux,blanc,3.0,15.0,8.0,11.0,,,blanc
Sainte-Croix-du-Mont,Sainte-Croix-du-Mont,doux,blanc,5.0,30.0,9.0,11.0,,,jaune
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,sec,rouge,5.0,10.0,16.0,18.0,,,rouge
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,sec,blanc,1.0,5.0,10.0,12.0,,,blanc
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,moelleux,blanc,3.0,10.0,9.0,11.0,,,blanc
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,doux,blanc,5.0,15.0,8.0,10.0,,,jaune
Cérons,Céron,doux,blanc,5.0,20.0,8.0,10.0,,,jaune
Graves,Graves,sec,rouge,3.0,10.0,16.0,0.0,,,rouge
Graves,Graves,sec,blanc,3.0,8.0,10.0,12.0,,,blanc
Graves supérieures,Graves supérieurs,doux,blanc,2.0,10.0,9.0,12.0,,,jaune
Pessac-Léognan,Pessac-Léognan,sec,rouge,10.0,35.0,16.0,16.0,,,rouge
Pessac-Léognan,Pessac-Léognan,sec,blanc,5.0,20.0,10.0,12.0,,,blanc
Canon-Fronsac,Canon-Fronsac,sec,rouge,3.0,15.0,15.0,0.0,,,rouge
Castillon,CASTILLON-CÔTES-DE-BORDEAUX,sec,rouge,3.0,5.0,15.0,0.0,Bordelais,,rouge
Castillon,FRANCS-CÔTES-DE-BORDEAUX,sec,rouge,3.0,12.0,15.0,0.0,Bordelais,,rouge
Castillon,FRANCS-CÔTES-DE-BORDEAUX,sec,blanc,3.0,8.0,10.0,12.0,Bordelais,,blanc
Castillon,FRANCS-CÔTES-DE-BORDEAUX,doux,blanc,3.0,50.0,10.0,13.0,Bordelais ; INAO,,jaune
Fronsac,Fronsac,sec,rouge,7.0,20.0,16.0,0.0,,,rouge
Lalande-de-Pomerol,Lalande-de-Pomerol,sec,rouge,8.0,20.0,16.0,18.0,,,rouge
LUSSAC-SAINT-ÉMILION,LUSSAC-SAINT-ÉMILION,sec,rouge,5.0,10.0,16.0,18.0,,,rouge
MONTAGNE-SAINT-ÉMILION,MONTAGNE-SAINT-ÉMILION,sec,rouge,5.0,15.0,16.0,18.0,,,rouge
Pomerol,Pomerol,sec,rouge,10.0,25.0,16.0,18.0,,,rouge
PUISSEGUIN-SAINT-ÉMILION,PUISSEGUIN-SAINT-ÉMILION,sec,rouge,3.0,8.0,16.0,18.0,,,rouge
SAINT-ÉMILION,SAINT-ÉMILION,sec,rouge,3.0,8.0,16.0,18.0,,,rouge
SAINT-ÉMILION GRAND CRU,SAINT-ÉMILION GRAND CRU,sec,rouge,10.0,35.0,15.0,16.0,,,rouge
Saint-Emilion,Saint-Emilion Premier Cru,sec,rouge,10.0,25.0,16.0,16.0,,,rouge
SAINT-GEORGES-SAINT-ÉMILION,SAINT-GEORGES-SAINT-ÉMILION,sec,rouge,5.0,10.0,16.0,18.0,,,rouge
Haut-Médoc,Haut-Médoc,sec,rouge,5.0,10.0,15.0,16.0,,,rouge
Listrac-Médoc,Listrac-Médoc,sec,rouge,3.0,10.0,16.0,18.0,,,rouge
Margaux,Margaux,sec,rouge,10.0,35.0,16.0,16.0,,,rouge
Médoc,Médoc,sec,rouge,3.0,8.0,16.0,18.0,,,rouge
Moulis-en-Médoc,Moulis-en-Médoc,sec,rouge,3.0,15.0,16.0,18.0,,,rouge
Pauillac,Pauillac,sec,rouge,10.0,35.0,16.0,16.0,,,rouge
Saint-Estèphe,Saint-Estèphe,sec,rouge,10.0,35.0,16.0,18.0,,,rouge
Saint-Julien ,Saint-Julien ,sec,rouge,10.0,35.0,16.0,17.0,,,rouge
Barsac,Barsac,doux,blanc,10.0,50.0,10.0,13.0,Bordelais ; INAO,,jaune
SAUTERNES,SAUTERNES,doux,blanc,10.0,50.0,10.0,13.0,,,jaune
Bourgogne,Bourgogne,sec,rouge,2.0,6.0,14.0,16.0,,,rouge
Bourgogne,Bourgogne,sec,blanc,2.0,8.0,12.0,14.0,,,blanc
Bourgogne,Bourgogne,sec,rosé,1.0,3.0,10.0,12.0,,,rosé
Bourgogne aligoté,Bourgogne-aligoté Primeur,sec,blanc,1.0,2.0,10.0,10.0,,,blanc
Bourgogne aligoté,Bourgogne-aligoté,sec,blanc,2.0,5.0,10.0,12.0,,,blanc
Bourgogne mousseux,Bourgogne mousseux,Effervescent,blanc,1.0,2.0,6.0,8.0,,,blanc
Bourgogne Passe-tout-grains,Bourgogne-Passetoutgrain,sec,rouge,1.0,5.0,12.0,14.0,,,rouge
Coteaux Bourguignons,Coteaux Bourguignons,sec,rouge,2.0,5.0,14.0,14.0,,,rouge
Coteaux Bourguignons,Coteaux Bourguignons,sec,blanc,1.0,5.0,10.0,12.0,,,blanc
Coteaux Bourguignons,Coteaux Bourguignons,sec,rosé,1.0,3.0,12.0,0.0,,,rosé
Crémant de Bourgogne,CRÉMANT-DE-BOURGOGNE,effervescent,blanc,1.0,5.0,6.0,8.0,,,blanc
Crémant de Bourgogne,CRÉMANT-DE-BOURGOGNE,effervescent,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,sec,rouge,2.0,5.0,13.0,15.0,,,rouge
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,sec,blanc,2.0,6.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,sec,rosé,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,sec,rouge,2.0,4.0,13.0,15.0,,,rouge
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,sec,blanc,1.0,4.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,sec,rosé,1.0,2.0,7.0,9.0,,,rosé
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,rouge,2.0,5.0,14.0,15.0,,,rouge
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,blanc,1.0,4.0,9.0,11.0,,,blanc
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,rosé,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,sec,rouge,1.0,4.0,13.0,15.0,,,rouge
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,sec,blanc,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,sec,rosé,1.0,2.0,9.0,11.0,,,rosé
Chablis,Chablis,sec,blanc,4.0,10.0,10.0,12.0,,,blanc
Chablis,Chablis Premier Cru,sec,blanc,5.0,15.0,12.0,12.0,,,blanc
Chablis Grand Cru,Chablis Grand Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Irancy,Irancy,sec,rouge,2.0,10.0,15.0,0.0,,,rouge
PETIT-CHABLIS,PETIT-CHABLIS,sec,blanc,1.0,2.0,10.0,0.0,,,blanc
Saint-Bris,Saint-Bris,sec,blanc,1.0,6.0,8.0,0.0,,,blanc
BOURGOGNE-CÔTE-CHALONNAISE,BOURGOGNE-CÔTE-CHALONNAISE,sec,rouge,2.0,10.0,16.0,0.0,,,rouge
BOURGOGNE-CÔTE-CHALONNAISE,BOURGOGNE-CÔTE-CHALONNAISE,sec,blanc,1.0,5.0,13.0,0.0,,,blanc
Bouzeron,Bouzeron,sec,blanc,1.0,5.0,11.0,13.0,,,blanc
Givry,Givry,sec,rouge,2.0,10.0,16.0,0.0,,,rouge
Givry,Givry Premier Cru,sec,rouge,3.0,15.0,16.0,0.0,,,rouge
Givry,Givry,sec,blanc,1.0,5.0,13.0,0.0,,,blanc
Givry,Givry Premier Cru,sec,blanc,2.0,8.0,13.0,0.0,,,blanc
Mercurey,Mercurey,sec,rouge,3.0,7.0,16.0,0.0,,,rouge
Mercurey,Mercurey Premier Cru,sec,rouge,3.0,15.0,16.0,0.0,,,rouge
Mercurey,Mercurey,sec,blanc,2.0,6.0,12.0,0.0,,,blanc
Mercurey,Mercurey Premier Cru,sec,blanc,2.0,10.0,12.0,0.0,,,blanc
Montagny,Montagny,sec,blanc,1.0,4.0,11.0,13.0,,,blanc
Montagny,Montagny premier Cru,sec,blanc,1.0,6.0,11.0,13.0,,,blanc
Rully,Rully,sec,rouge,2.0,7.0,16.0,0.0,,,rouge
Rully,Rully Premier Cru,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
Rully,Rully,sec,blanc,2.0,6.0,13.0,0.0,,,blanc
Rully,Rully Premier Cru,sec,blanc,3.0,8.0,13.0,0.0,,,blanc
Aloxe-Corton,Aloxe-Corton Villages,sec,rouge,5.0,10.0,16.0,0.0,,,rouge
Aloxe-Corton,Aloxe-Corton Premier Cru,sec,rouge,8.0,20.0,16.0,0.0,,,rouge
Aloxe-Corton,Aloxe-Corton Villages,sec,blanc,3.0,7.0,12.0,0.0,,,blanc
Aloxe-Corton,Aloxe-Corton Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Auxey-Duresses,Auxey-Duresses Villages,sec,rouge,5.0,10.0,16.0,0.0,,,rouge
Auxey-Duresses,Auxey-Duresses Premier Cru,sec,rouge,8.0,20.0,15.0,16.0,,,rouge
Auxey-Duresses,Auxey-Duresses Villages,sec,blanc,3.0,7.0,11.0,13.0,,,blanc
Auxey-Duresses,Auxey-Duresses Premier Cru,sec,blanc,5.0,10.0,11.0,13.0,,,blanc
Bâtard-Montrachet,Bâtard-Montrachet Grand Crus,sec,blanc,10.0,30.0,12.0,14.0,,,blanc
Beaune,Beaune,sec,rouge,5.0,15.0,15.0,16.0,,,rouge
Beaune,BEAUNE Premier Cru,sec,rouge,7.0,15.0,15.0,16.0,,,rouge
Beaune,Beaune,sec,blanc,2.0,8.0,11.0,13.0,,,blanc
Beaune,BEAUNE Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Bienvenues-Bâtard-Montrachet,Bienvenues-Bâtard-Montrachet Grand Cru,sec,blanc,10.0,30.0,12.0,14.0,,,blanc
Blagny,Blagny,sec,rouge,3.0,6.0,16.0,16.0,,,rouge
Blagny,Blagny Premier Cru,sec,rouge,5.0,8.0,16.0,16.0,,,rouge
Charlemagne,Charlemagne Grand Cru,sec,blanc,10.0,25.0,12.0,14.0,,,blanc
Chassagne-Montrachet,Chassagne-Montrachet,sec,rouge,4.0,10.0,16.0,0.0,,,rouge
Chassagne-Montrachet,Chassagne-Montrachet Premier Cru,sec,rouge,6.0,15.0,16.0,0.0,,,rouge
Chassagne-Montrachet,Chassagne-Montrachet,sec,blanc,3.0,10.0,12.0,14.0,,,blanc
Chassagne-Montrachet,Chassagne-Montrachet Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Chevalier-Montrachet,Chevalier-Montrachet Grand Cru,sec,blanc,8.0,20.0,12.0,14.0,,,blanc
Chorey-lès-Beaune,Chorey-lès-Beaune,sec,rouge,5.0,10.0,16.0,0.0,,,rouge
Chorey-lès-Beaune,Chorey-lès-Beaune,sec,blanc,3.0,8.0,12.0,13.0,,,blanc
Corton,Corton Grand Cru,sec,rouge,5.0,30.0,16.0,0.0,,,rouge
Corton,Corton Grand Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Corton-Charlemagne ,Corton-Charlemagne Grand Cru,sec,blanc,5.0,20.0,12.0,14.0,,,blanc
BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,sec,rouge,2.0,6.0,16.0,0.0,,,rouge
BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,sec,blanc,1.0,5.0,12.0,14.0,,,blanc
CÔTE-DE-BEAUNE,CÔTE-DE-BEAUNE,sec,rouge,2.0,6.0,16.0,0.0,,,rouge
CÔTE-DE-BEAUNE,CÔTE-DE-BEAUNE,sec,blanc,1.0,5.0,12.0,14.0,,,blanc
CÔTE-DE-BEAUNE-VILLAGES,CÔTE-DE-BEAUNE-VILLAGES,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
Criots-Bâtard-Montrachet,Criots-Bâtard-Montrachet Grand Cru,sec,blanc,6.0,25.0,12.0,14.0,,,blanc
Ladoix,Ladoix,sec,rouge,2.0,7.0,16.0,0.0,,,rouge
Ladoix,Ladoix Premier Cru,sec,rouge,4.0,10.0,16.0,0.0,,,rouge
Ladoix,Ladoix,sec,blanc,2.0,6.0,13.0,0.0,,,blanc
Ladoix,Ladoix Premier Cru,sec,blanc,3.0,8.0,13.0,0.0,,,blanc
Maranges,Maranges,sec,rouge,2.0,5.0,16.0,0.0,,,rouge
Maranges,Maranges Premier Cru,sec,rouge,2.0,7.0,16.0,0.0,,,rouge
Maranges,Maranges,sec,blanc,2.0,5.0,13.0,0.0,,,blanc
Maranges,Maranges Premier Cru,sec,blanc,2.0,5.0,13.0,0.0,,,blanc
Meursault,Meursault Premier Cru,sec,rouge,5.0,20.0,16.0,0.0,,,rouge
Meursault,Meursault,sec,blanc,4.0,10.0,12.0,14.0,,,blanc
Meursault,Meursault Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,,blanc
Monthélie,Monthélie,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
Monthélie,Monthélie Premier Cru,sec,rouge,3.0,12.0,16.0,0.0,,,rouge
Monthélie,Monthélie,sec,blanc,2.0,5.0,13.0,0.0,,,blanc
Monthélie,Monthélie Premier Cru,sec,blanc,2.0,7.0,13.0,0.0,,,blanc
Montrachet,Montrachet Grand Cru,sec,blanc,7.0,30.0,12.0,14.0,,,blanc
Musigny,Musigny Grand Cru,sec,rouge,7.0,35.0,15.0,16.0,,,rouge
Musigny,Musigny Grand Cru,sec,blanc,7.0,20.0,12.0,14.0,,,blanc
Pernand-Vergelesses,Pernand-Vergelesses,sec,rouge,2.0,7.0,16.0,0.0,,,rouge
Pernand-Vergelesses,Pernand-Vergelesses Premier Cru,sec,rouge,3.0,12.0,16.0,0.0,,,rouge
Pernand-Vergelesses,Pernand-Vergelesses,sec,blanc,1.0,4.0,13.0,0.0,,,blanc
Pernand-Vergelesses,Pernand-Vergelesses Premier Cru,sec,blanc,2.0,10.0,13.0,0.0,,,blanc
Pommard,Pommard,sec,rouge,5.0,15.0,16.0,0.0,,,rouge
Pommard,Pommard Premier Cru,sec,rouge,6.0,20.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet,sec,rouge,5.0,10.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet Premier Cru,sec,rouge,5.0,15.0,16.0,0.0,,,rouge
Puligny-Montrachet,Puligny-Montrachet,sec,blanc,3.0,10.0,13.0,0.0,,,blanc
Puligny-Montrachet,Puligny-Montrachet Premier Cru,sec,blanc,3.0,15.0,13.0,0.0,,,blanc
Saint-Aubin,Saint-Aubin,sec,rouge,5.0,12.0,16.0,0.0,,,rouge
Saint-Aubin,Saint-Aubin Premier Cru,sec,rouge,6.0,15.0,16.0,0.0,,,rouge
Saint-Aubin,Saint-Aubin,sec,blanc,4.0,10.0,13.0,0.0,,,blanc
Saint-Aubin,Saint-Aubin Premier Cru,sec,blanc,5.0,15.0,13.0,0.0,,,blanc
Saint-Romain,Saint-Romain,sec,rouge,4.0,12.0,16.0,0.0,,,rouge
Saint-Romain,Saint-Romain,sec,blanc,2.0,10.0,13.0,0.0,,,blanc
Santenay,Santenay,sec,rouge,3.0,7.0,16.0,0.0,,,rouge
Santenay,Santenay Premier Cru,sec,rouge,4.0,15.0,16.0,0.0,,,rouge
Santenay,Santenay,sec,blanc,2.0,8.0,13.0,0.0,,,blanc
Santenay,Santenay Premier Cru,sec,blanc,3.0,17.0,13.0,0.0,,,blanc
Savigny-lès-Beaune,Savigny-lès-Beaune,sec,rouge,4.0,10.0,16.0,0.0,,,rouge
Savigny-lès-Beaune,Savigny-lès-Beaune Premier Cru,sec,rouge,6.0,16.0,16.0,0.0,,,rouge
Savigny-lès-Beaune,Savigny-lès-Beaune,sec,blanc,4.0,10.0,13.0,0.0,,,blanc
Savigny-lès-Beaune,Savigny-lès-Beaune Premier Cru,sec,blanc,5.0,15.0,13.0,0.0,,,blanc
Volnay,Volnay,sec,rouge,3.0,6.0,16.0,0.0,,,rouge
Volnay,Volnay Premier Cru,sec,rouge,4.0,15.0,16.0,0.0,,,rouge
BOURGOGNE-HAUTES-CÔTES-DE-NUITS,BOURGOGNE-HAUTES-CÔTES-DE-NUITS,sec,rouge,3.0,8.0,16.0,0.0,,,rouge
BOURGOGNE-HAUTES-CÔTES-DE-NUITS,BOURGOGNE-HAUTES-CÔTES-DE-NUITS,sec,blanc,1.0,6.0,12.0,14.0,,,blanc
Bonnes-Mares,Bonnes-Mares Grand Cru,sec,rouge,10.0,25.0,16.0,0.0,,,rouge
Chambertin,Chambertin,sec,rouge,7.0,15.0,14.0,16.0,,,rouge
Chambertin-Clos-de-Bèze,Chambertin-Clos de Bèze Grand Cru,sec,rouge,10.0,35.0,14.0,16.0,,,rouge
Chambolle-Musigny,Chambolle-Musigny,sec,rouge,5.0,10.0,16.0,16.0,,,rouge
Chambolle-Musigny,Chambolle-Musigny Premier Cru,sec,rouge,7.0,15.0,16.0,16.0,,,rouge
Chapelle-Chambertin,Chapelle-Chambertin Grand Cru,sec,rouge,7.0,20.0,15.0,16.0,,,rouge
Charmes-Chambertin,Charmes-Chambertin Grand Cru,sec,rouge,6.0,25.0,16.0,0.0,,,rouge
Clos-de-la-Roche,Clos de la Roche Grand Cru,sec,rouge,8.0,30.0,16.0,0.0,,,rouge
Clos-de-Tart,Clos de Tart Grand Cru,sec,rouge,8.0,30.0,15.0,16.0,,,rouge
Clos-de-Vougeot,Clos de Vougeot Grand Cru,sec,rouge,10.0,35.0,16.0,0.0,,,rouge
Clos-des-Lambrays,Clos des Lambrays Grand Cru,sec,rouge,7.0,25.0,16.0,0.0,,,rouge
Clos-Saint-Denis,Clos Saint-Denis Grand Cru,sec,rouge,5.0,20.0,15.0,16.0,,,rouge
