area,cru,age_min,age_max,t_min,t_max,glass_type,comments,color
Alsace,Alsace,3.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,rouge
Alsace,Alsace,1.0,3.0,10.0,0.0,Bordelais ; Alsacien,,rosé
Alsace,Alsace,3.0,5.0,10.0,12.0,Bordelais ; Alsacien,,blanc
Alsace,Alsace,5.0,30.0,8.0,12.0,Bordelais ; INAO,,jaune
Alsace,Alsace Grand Cru ,5.0,15.0,12.0,0.0,Bordelais ; Alsacien,Ils peuvent vieillir jusqu'à 25 ans,blanc
Alsace,Alsace Grand Cru ,10.0,50.0,11.0,13.0,Bordelais ; INAO,Les Grands Crus peuvent être servis à 14°C,jaune
Alsace,Crémant d'Alsace,3.0,5.0,8.0,10.0,Champagne,,blanc
Alsace,Crémant d'Alsace,3.0,0.0,9.0,11.0,Vin Blanc; Champagne,,blanc
Beaujolais,Beaujolais,2.0,5.0,10.0,12.0,Bordelais ; INAO,,blanc
Beaujolais,Beaujolais,2.0,4.0,8.0,11.0,Bourgogne,,rosé
Beaujolais,Beaujolais,3.0,8.0,14.0,16.0,Bourgogne,,rouge
Beaujolais,Beaujolais supérieur,3.0,8.0,14.0,16.0,Bourgogne,,rouge
Beaujolais,Comtés Rhodaniens,2.0,5.0,16.0,0.0,,,rouge
Beaujolais,Comtés Rhodaniens,1.0,3.0,8.0,0.0,,,rosé
Beaujolais,Comtés Rhodaniens,2.0,4.0,8.0,0.0,,,blanc
Beaujolais,Saône-et-Loire,3.0,5.0,14.0,15.0,,,rouge
Beaujolais,Saône-et-Loire,1.0,3.0,8.0,11.0,,,rosé
Beaujolais,Saône-et-Loire,2.0,5.0,10.0,13.0,,,blanc
Brouilly,Brouilly,2.0,6.0,12.0,13.0,Bourgogne,,rouge
Chénas,Chénas,4.0,10.0,16.0,16.0,,,rouge
Chiroubles,Chiroubles,1.0,4.0,12.0,13.0,,,rouge
Côte de Brouilly,Côte de Brouilly,4.0,8.0,15.0,15.0,,,rouge
Fleurie,Fleurie,1.0,4.0,14.0,14.0,,,rouge
Juliénas,Juliénas,4.0,10.0,14.0,15.0,,,rouge
Morgon,Morgon,4.0,12.0,16.0,16.0,,,rouge
Moulin-à-Vent,Moulin-à-Vent,5.0,12.0,16.0,16.0,,,rouge
Régnié,Régnié,3.0,8.0,14.0,16.0,,,rouge
Saint-Amour,Saint-Amour,2.0,6.0,15.0,15.0,,,rouge
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,3.0,5.0,14.0,15.0,,,rouge
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,1.0,3.0,8.0,11.0,,,blanc
Vins de pays/IGP Saône-et-Loire,Vins de pays/IGP Saône-et-Loire,2.0,4.0,10.0,13.0,,,rosé
Blaye,Blaye,5.0,10.0,15.0,15.0,Bordelais,,rouge
Blaye,Côte de Blaye,3.0,5.0,8.0,11.0,,,blanc
Blaye,Côtes de Bordeaux,5.0,10.0,15.0,15.0,,,rouge
Blaye,Côtes de Bordeaux,3.0,5.0,8.0,11.0,,,blanc
Bourg,Côte de Bourg,5.0,20.0,15.0,16.0,,,rouge
Bourg,Côte de Bourg,3.0,10.0,10.0,12.0,,,blanc
Bourg,Bourgeais,3.0,10.0,15.0,0.0,,,rouge
Bordeaux,Bordeaux,1.0,3.0,8.0,11.0,Bordelais,,rosé
Bordeaux,Bordeaux,3.0,5.0,8.0,11.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux,3.0,5.0,14.0,16.0,Bordelais,,rouge
Bordeaux,Bordeaux,1.0,3.0,8.0,11.0,Bordelais,,blanc
Bordeaux,Bordeaux,5.0,15.0,10.0,13.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux Haut-Benauge,5.0,15.0,8.0,11.0,Bordelais,,blanc
Bordeaux,Bordeaux Haut-Benauge,5.0,20.0,10.0,12.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux supérieur,3.0,7.0,10.0,13.0,Bordelais ; INAO,,blanc
Bordeaux,Bordeaux supérieur,5.0,15.0,15.0,15.0,Bordelais,,rouge
Côtes de Bordeaux,Côtes de Bordeaux,5.0,15.0,15.0,15.0,Bordelais,,rouge
Cadillac,Cadillac,5.0,30.0,10.0,13.0,Bordelais ; INAO,,jaune
Cadillac,Côtes de Bordeaux,5.0,10.0,15.0,15.0,Bordelais,,rouge
Côtes de Bordeaux-Saint-Macaire,Côtes de Bordeaux-Saint-Macaire,3.0,5.0,8.0,11.0,,,blanc
Côtes de Bordeaux-Saint-Macaire,Côtes de Bordeaux-Saint-Macaire,5.0,15.0,10.0,13.0,,,blanc
Côtes de Bordeaux-Saint-Macaire,Côtes de Bordeaux-Saint-Macaire,5.0,30.0,9.0,12.0,,,jaune
Entre-deux-Mers,Entre-deux-Mers,2.0,5.0,8.0,11.0,,,blanc
Entre-deux-Mers,Entre-deux-Mers Haut-Benauge,3.0,7.0,8.0,11.0,,,blanc
Graves de Vayres,Graves de Vayres,1.0,5.0,14.0,16.0,,,rouge
Graves de Vayres,Graves de Vayres,1.0,3.0,8.0,10.0,,,blanc
Graves de Vayres,Graves de Vayres,3.0,10.0,10.0,12.0,,,jaune
Loupiac,Loupiac,5.0,20.0,9.0,11.0,,,jaune
Premières Côtes de Bordeaux,Premières Côtes de Bordeaux,3.0,15.0,8.0,11.0,,,blanc
Sainte-Croix-du-Mont,Sainte-Croix-du-Mont,5.0,30.0,9.0,11.0,,,jaune
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,5.0,10.0,16.0,18.0,,,rouge
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,1.0,5.0,10.0,12.0,,,blanc
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,3.0,10.0,9.0,11.0,,,blanc
Sainte-Foy-Bordeaux,Sainte-Foy-Bordeaux,5.0,15.0,8.0,10.0,,,jaune
Cérons,Céron,5.0,20.0,8.0,10.0,,,jaune
Graves,Graves,3.0,10.0,16.0,0.0,,,rouge
Graves,Graves,3.0,8.0,10.0,12.0,,,blanc
Graves supérieures,Graves supérieurs,2.0,10.0,9.0,12.0,,,jaune
Pessac-Léognan,Pessac-Léognan,10.0,35.0,16.0,16.0,,,rouge
Pessac-Léognan,Pessac-Léognan,5.0,20.0,10.0,12.0,,,blanc
Canon-Fronsac,Canon-Fronsac,3.0,15.0,15.0,0.0,,,rouge
Castillon,Côtes de Bordeaux Castillon,3.0,5.0,15.0,0.0,Bordelais,,rouge
Castillon,Côtes de Bordeaux Francs,3.0,12.0,15.0,0.0,Bordelais,,rouge
Castillon,Côtes de Bordeaux Francs,3.0,8.0,10.0,12.0,Bordelais,,blanc
Castillon,Côtes de Bordeaux Francs,3.0,50.0,10.0,13.0,Bordelais ; INAO,,jaune
Fronsac,Fronsac,7.0,20.0,16.0,0.0,,,rouge
Lalande-de-Pomerol,Lalande-de-Pomerol,8.0,20.0,16.0,18.0,,,rouge
Lussac-Saint-Emilion,Lussac-Saint-Emilion,5.0,10.0,16.0,18.0,,,rouge
Montagne-Saint-Emilion,Montagne-Saint-Emilion,5.0,15.0,16.0,18.0,,,rouge
Pomerol,Pomerol,10.0,25.0,16.0,18.0,,,rouge
Puisseguin-Saint-Emilion,Puisseguin-Saint-Emilion,3.0,8.0,16.0,18.0,,,rouge
Saint-Emilion,Saint-Emilion,3.0,8.0,16.0,18.0,,,rouge
Saint-Emilion,Saint-Emilion Grand Cru,10.0,35.0,15.0,16.0,,,rouge
Saint-Emilion,Saint-Emilion Premier Cru,10.0,25.0,16.0,16.0,,,rouge
Saint-Georges-Saint Emilion,Saint-Georges-Saint Emilion,5.0,10.0,16.0,18.0,,,rouge
Haut-Médoc,Haut-Médoc,5.0,10.0,15.0,16.0,,,rouge
Listrac-Médoc,Listrac-Médoc,3.0,10.0,16.0,18.0,,,rouge
Margaux,Margaux,10.0,35.0,16.0,16.0,,,rouge
Médoc,Médoc,3.0,8.0,16.0,18.0,,,rouge
Moulis-en-Médoc,Moulis-en-Médoc,3.0,15.0,16.0,18.0,,,rouge
Pauillac,Pauillac,10.0,35.0,16.0,16.0,,,rouge
Saint-Estèphe,Saint-Estèphe,10.0,35.0,16.0,18.0,,,rouge
Saint-Julien ,Saint-Julien ,10.0,35.0,16.0,17.0,,,rouge
Barsac,Barsac,10.0,50.0,10.0,13.0,Bordelais ; INAO,,jaune
Sauterne,Sauterne,10.0,50.0,10.0,13.0,,,jaune
Bourgogne,Bourgogne,2.0,6.0,14.0,16.0,,,rouge
Bourgogne,Bourgogne,2.0,8.0,12.0,14.0,,,blanc
Bourgogne,Bourgogne,1.0,3.0,10.0,12.0,,,rosé
Bourgogne aligoté,Bourgogne aligoté Primeur,1.0,2.0,10.0,10.0,,,blanc
Bourgogne aligoté,Bourgogne aligoté,2.0,5.0,10.0,12.0,,,blanc
Bourgogne mousseux,Bourgogne mousseux,1.0,2.0,6.0,8.0,,,blanc
Bourgogne Passe-tout-grains,Bourgogne Passe-tout-grains,1.0,5.0,12.0,14.0,,,rouge
Coteaux Bourguignons,Coteaux Bourguignons,2.0,5.0,14.0,14.0,,,rouge
Coteaux Bourguignons,Coteaux Bourguignons,1.0,5.0,10.0,12.0,,,blanc
Coteaux Bourguignons,Coteaux Bourguignons,1.0,3.0,12.0,0.0,,,rosé
Crémant de Bourgogne,Crémant de Bourgogne,1.0,5.0,6.0,8.0,,,blanc
Crémant de Bourgogne,Crémant de Bourgogne,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,2.0,5.0,13.0,15.0,,,rouge
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,2.0,6.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de l'Auxois,Vins de pays/IGP Coteaux de l'Auxois,1.0,2.0,8.0,10.0,,,rosé
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,2.0,4.0,13.0,15.0,,,rouge
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,1.0,4.0,12.0,14.0,,,blanc
Vins de pays/IGP Coteaux de Tannay,Vins de pays/IGP Coteaux de Tannay,1.0,2.0,7.0,9.0,,,rosé
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,2.0,5.0,14.0,15.0,,,rouge
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,1.0,4.0,9.0,11.0,,,blanc
Vins de pays/IGP Sainte-Marie-la-Blanche,Vins de pays/IGP Sainte-Marie-la-Blanche,1.0,3.0,8.0,10.0,,,rosé
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,1.0,4.0,13.0,15.0,,,rouge
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,1.0,3.0,8.0,10.0,,,blanc
Vins de pays/IGP Yonne,Vins de pays/IGP Yonne,1.0,2.0,9.0,11.0,,,rosé
Chablis,Chablis,4.0,10.0,10.0,12.0,,,blanc
Chablis,Chablis Premier Cru,5.0,15.0,12.0,12.0,,,blanc
Chablis Grand Cru,Chablis Grand Cru,5.0,15.0,12.0,14.0,,,blanc
Irancy,Irancy,2.0,10.0,15.0,0.0,,,rouge
Petit Chablis,Petit Chablis,1.0,2.0,10.0,0.0,,,blanc
Saint-Bris,Saint-Bris,1.0,6.0,8.0,0.0,,,blanc
Bouzeron,Bouzeron,1.0,5.0,11.0,13.0,,,blanc
Givry,Givry,2.0,10.0,16.0,0.0,,,rouge
Givry,Givry Premier Cru,3.0,15.0,16.0,0.0,,,rouge
Givry,Givry,1.0,5.0,13.0,0.0,,,blanc
Givry,Givry Premier Cru,2.0,8.0,13.0,0.0,,,blanc
Mercurey,Mercurey,3.0,7.0,16.0,0.0,,,rouge
Mercurey,Mercurey Premier Cru,3.0,15.0,16.0,0.0,,,rouge
Mercurey,Mercurey,2.0,6.0,12.0,0.0,,,blanc
Mercurey,Mercurey Premier Cru,2.0,10.0,12.0,0.0,,,blanc
Montagny,Montagny,1.0,4.0,11.0,13.0,,,blanc
Montagny,Montagny premier Cru,1.0,6.0,11.0,13.0,,,blanc
Rully,Rully,2.0,7.0,16.0,0.0,,,rouge
Rully,Rully Premier Cru,3.0,8.0,16.0,0.0,,,rouge
Rully,Rully,2.0,6.0,13.0,0.0,,,blanc
Rully,Rully Premier Cru,3.0,8.0,13.0,0.0,,,blanc
Aloxe-Corton,Aloxe-Corton Villages,5.0,10.0,16.0,0.0,,,rouge
Aloxe-Corton,Aloxe-Corton Premier Cru,8.0,20.0,16.0,0.0,,,rouge
Aloxe-Corton,Aloxe-Corton Villages,3.0,7.0,12.0,0.0,,,blanc
Aloxe-Corton,Aloxe-Corton Premier Cru,5.0,15.0,12.0,14.0,,,blanc
Auxey-Duresses,Auxey-Duresses Villages,5.0,10.0,16.0,0.0,,,rouge
Auxey-Duresses,Auxey-Duresses Premier Cru,8.0,20.0,15.0,16.0,,,rouge
Auxey-Duresses,Auxey-Duresses Villages,3.0,7.0,11.0,13.0,,,blanc
Auxey-Duresses,Auxey-Duresses Premier Cru,5.0,10.0,11.0,13.0,,,blanc
Bâtard-Montrachet,Bâtard-Montrachet Grand Crus,10.0,30.0,12.0,14.0,,,blanc
Beaune,Beaune ,5.0,15.0,15.0,16.0,,,rouge
Beaune,Beaune Premier Cru,7.0,15.0,15.0,16.0,,,rouge
Beaune,Beaune ,2.0,8.0,11.0,13.0,,,blanc
Beaune,Beaune Premier Cru,5.0,15.0,12.0,14.0,,,blanc
Bienvenues-Bâtard-Montrachet,Bienvenues-Bâtard-Montrachet Grand Cru,10.0,30.0,12.0,14.0,,,blanc
Blagny,Blagny,3.0,6.0,16.0,16.0,,,rouge
Blagny,Blagny Premier Cru,5.0,8.0,16.0,16.0,,,rouge
Charlemagne,Charlemagne Grand Cru,10.0,25.0,12.0,14.0,,,blanc
Chassagne-Montrachet,Chassagne-Montrachet,4.0,10.0,16.0,0.0,,,rouge
Chassagne-Montrachet,Chassagne-Montrachet Premier Cru,6.0,15.0,16.0,0.0,,,rouge
Chassagne-Montrachet,Chassagne-Montrachet,3.0,10.0,12.0,14.0,,,blanc
Chassagne-Montrachet,Chassagne-Montrachet Premier Cru,5.0,15.0,12.0,14.0,,,blanc
Chevalier-Montrachet,Chevalier-Montrachet Grand Cru,8.0,20.0,12.0,14.0,,,blanc
Chorey-lès-Beaune,Chorey-lès-Beaune,5.0,10.0,16.0,0.0,,,rouge
Chorey-lès-Beaune,Chorey-lès-Beaune,3.0,8.0,12.0,13.0,,,blanc
Corton,Corton Grand Cru,5.0,30.0,16.0,0.0,,,rouge
Corton,Corton Grand Cru,5.0,15.0,12.0,14.0,,,blanc
Corton-Charlemagne ,Corton-Charlemagne Grand Cru,5.0,20.0,12.0,14.0,,,blanc
Côte de Beaune,Côte de Beaune,2.0,6.0,16.0,0.0,,,rouge
Côte de Beaune,Côte de Beaune,1.0,5.0,12.0,14.0,,,blanc
Côte de Beaune Villages,Côte de Beaune Villages,3.0,8.0,16.0,0.0,,,rouge
Criots-Bâtard-Montrachet,Criots-Bâtard-Montrachet Grand Cru,6.0,25.0,12.0,14.0,,,blanc
Ladoix,Ladoix,2.0,7.0,16.0,0.0,,,rouge
Ladoix,Ladoix Premier Cru,4.0,10.0,16.0,0.0,,,rouge
Ladoix,Ladoix,2.0,6.0,13.0,0.0,,,blanc
Ladoix,Ladoix Premier Cru,3.0,8.0,13.0,0.0,,,blanc
Maranges,Maranges,2.0,5.0,16.0,0.0,,,rouge
Maranges,Maranges Premier Cru,2.0,7.0,16.0,0.0,,,rouge
Maranges,Maranges,2.0,5.0,13.0,0.0,,,blanc
Maranges,Maranges Premier Cru,2.0,5.0,13.0,0.0,,,blanc
Meursault,Meursault Premier Cru,5.0,20.0,16.0,0.0,,,rouge
Meursault,Meursault,4.0,10.0,12.0,14.0,,,blanc
Meursault,Meursault Premier Cru,5.0,15.0,12.0,14.0,,,blanc
Monthélie,Monthélie,3.0,8.0,16.0,0.0,,,rouge
Monthélie,Monthélie Premier Cru,3.0,12.0,16.0,0.0,,,rouge
Monthélie,Monthélie,2.0,5.0,13.0,0.0,,,blanc
Monthélie,Monthélie Premier Cru,2.0,7.0,13.0,0.0,,,blanc
Montrachet,Montrachet Grand Cru,7.0,30.0,12.0,14.0,,,blanc
Musigny,Musigny Grand Cru,7.0,35.0,15.0,16.0,,,rouge
Musigny,Musigny Grand Cru,7.0,20.0,12.0,14.0,,,blanc
Pernand-Vergelesses,Pernand-Vergelesses,2.0,7.0,16.0,0.0,,,rouge
Pernand-Vergelesses,Pernand-Vergelesses Premier Cru,3.0,12.0,16.0,0.0,,,rouge
Pernand-Vergelesses,Pernand-Vergelesses,1.0,4.0,13.0,0.0,,,blanc
Pernand-Vergelesses,Pernand-Vergelesses Premier Cru,2.0,10.0,13.0,0.0,,,blanc
Pommard,Pommard,5.0,15.0,16.0,0.0,,,rouge
