,Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
45,Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux supérieur,sec,blanc,3.0,7.0,10.0,13.0,Bordelais ; INAO,
46,Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux supérieur,sec,rouge,5.0,15.0,15.0,15.0,Bordelais,
47,Bordeaux,Bordeaux,Côtes de Bordeaux,AOC,Côtes de Bordeaux,sec,rouge,5.0,15.0,15.0,15.0,Bordelais,
48,Bordeaux,Entre-deux-Mers,Cadillac,AOC,Cadillac,doux,blanc,5.0,30.0,10.0,13.0,Bordelais ; INAO,
49,Bordeaux,Entre-deux-Mers,Cadillac,AOC,Côtes de Bordeaux,sec,rouge,5.0,10.0,15.0,15.0,Bordelais,
50,Bordeaux,Entre-deux-Mers,Côtes de Bordeaux-Saint-Macaire,AOC,Côtes de Bordeaux-Saint-Macaire,sec,blanc,3.0,5.0,8.0,11.0,,
51,Bordeaux,Entre-deux-Mers,Côtes de Bordeaux-Saint-Macaire,AOC,Côtes de Bordeaux-Saint-Macaire,moelleux,blanc,5.0,15.0,10.0,13.0,,
52,Bordeaux,Entre-deux-Mers,Côtes de Bordeaux-Saint-Macaire,AOC,Côtes de Bordeaux-Saint-Macaire,doux,blanc,5.0,30.0,9.0,12.0,,
53,Bordeaux,Entre-deux-Mers,Entre-deux-Mers,AOC,Entre-deux-Mers,sec,blanc,2.0,5.0,8.0,11.0,,
54,Bordeaux,Entre-deux-Mers,Entre-deux-Mers,AOC,Entre-deux-Mers Haut-Benauge,sec,blanc,3.0,7.0,8.0,11.0,,
55,Bordeaux,Entre-deux-Mers,Graves de Vayres,AOC,Graves de Vayres,sec,rouge,1.0,5.0,14.0,16.0,,
56,Bordeaux,Entre-deux-Mers,Graves de Vayres,AOC,Graves de Vayres,sec,blanc,1.0,3.0,8.0,10.0,,
57,Bordeaux,Entre-deux-Mers,Graves de Vayres,AOC,Graves de Vayres,doux,blanc,3.0,10.0,10.0,12.0,,
58,Bordeaux,Entre-deux-Mers,Loupiac,AOC,Loupiac,doux,blanc,5.0,20.0,9.0,11.0,,
59,Bordeaux,Entre-deux-Mers,Premières Côtes de Bordeaux,AOC,Premières Côtes de Bordeaux,moelleux,blanc,3.0,15.0,8.0,11.0,,
60,Bordeaux,Entre-deux-Mers,Sainte-Croix-du-Mont,AOC,Sainte-Croix-du-Mont,doux,blanc,5.0,30.0,9.0,11.0,,
61,Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,sec,rouge,5.0,10.0,16.0,18.0,,
62,Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,sec,blanc,1.0,5.0,10.0,12.0,,
63,Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,moelleux,blanc,3.0,10.0,9.0,11.0,,
64,Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,doux,blanc,5.0,15.0,8.0,10.0,,
65,Bordeaux,Grave,Cérons,AOC,Céron,doux,blanc,5.0,20.0,8.0,10.0,,
66,Bordeaux,Graves,Graves,AOC,Graves,sec,rouge,3.0,10.0,16.0,,,
67,Bordeaux,Graves,Graves,AOC,Graves,sec,blanc,3.0,8.0,10.0,12.0,,
68,Bordeaux,Graves,Graves supérieures,AOC,Graves supérieurs,doux,blanc,2.0,10.0,9.0,12.0,,
69,Bordeaux,Graves,Pessac-Léognan,AOC,Pessac-Léognan,sec,rouge,10.0,35.0,16.0,16.0,,
70,Bordeaux,Graves,Pessac-Léognan,AOC,Pessac-Léognan,sec,blanc,5.0,20.0,10.0,12.0,,
71,Bordeaux,Libournais,Canon-Fronsac,AOC,Canon-Fronsac,sec,rouge,3.0,15.0,15.0,,,
72,Bordeaux,Libournais,Castillon,AOC,Côtes de Bordeaux Castillon,sec,rouge,3.0,5.0,15.0,,Bordelais,
73,Bordeaux,Libournais,Castillon,AOC,Côtes de Bordeaux Francs,sec,rouge,3.0,12.0,15.0,,Bordelais,
74,Bordeaux,Libournais,Castillon,AOC,Côtes de Bordeaux Francs,sec,blanc,3.0,8.0,10.0,12.0,Bordelais,
75,Bordeaux,Libournais,Castillon,AOC,Côtes de Bordeaux Francs,Doux,blanc,3.0,50.0,10.0,13.0,Bordelais ; INAO,
76,Bordeaux,Libournais,Fronsac,AOC,Fronsac,sec,rouge,7.0,20.0,16.0,,,
77,Bordeaux,Libournais,Lalande-de-Pomerol,AOC,Lalande-de-Pomerol,sec,rouge,8.0,20.0,16.0,18.0,,
78,Bordeaux,Libournais,Lussac-Saint-Emilion,AOC,Lussac-Saint-Emilion,sec,rouge,5.0,10.0,16.0,18.0,,
79,Bordeaux,Libournais,Montagne-Saint-Emilion,AOC,Montagne-Saint-Emilion,sec,rouge,5.0,15.0,16.0,18.0,,
80,Bordeaux,Libournais,Pomerol,AOC,Pomerol,sec,rouge,10.0,25.0,16.0,18.0,,
81,Bordeaux,Libournais,Puisseguin-Saint-Emilion,AOC,Puisseguin-Saint-Emilion,sec,rouge,3.0,8.0,16.0,18.0,,
82,Bordeaux,Libournais,Saint-Emilion,AOC,Saint-Emilion,sec,rouge,3.0,8.0,16.0,18.0,,
83,Bordeaux,Libournais,Saint-Emilion,AOC,Saint-Emilion Grand Cru,sec,rouge,10.0,35.0,15.0,16.0,,
84,Bordeaux,Libournais,Saint-Emilion,AOC,Saint-Emilion Premier Cru,sec,rouge,10.0,25.0,16.0,16.0,,
85,Bordeaux,Libournais,Saint-Georges-Saint Emilion,AOC,Saint-Georges-Saint Emilion,sec,rouge,5.0,10.0,16.0,18.0,,
86,Bordeaux,Médoc,Haut-Médoc,AOC,Haut-Médoc,sec,rouge,5.0,10.0,15.0,16.0,,
87,Bordeaux,Médoc,Listrac-Médoc,AOC,Listrac-Médoc,sec,rouge,3.0,10.0,16.0,18.0,,
88,Bordeaux,Médoc,Margaux,AOC,Margaux,sec,rouge,10.0,35.0,16.0,16.0,,
89,Bordeaux,Médoc,Médoc,AOC,Médoc,sec,rouge,3.0,8.0,16.0,18.0,,
90,Bordeaux,Médoc,Moulis-en-Médoc,AOC,Moulis-en-Médoc,sec,rouge,3.0,15.0,16.0,18.0,,
91,Bordeaux,Médoc,Pauillac,AOC,Pauillac,sec,rouge,10.0,35.0,16.0,16.0,,
92,Bordeaux,Médoc,Saint-Estèphe,AOC,Saint-Estèphe,sec,rouge,10.0,35.0,16.0,18.0,,
93,Bordeaux,Médoc,Saint-Julien ,AOC,Saint-Julien ,sec,rouge,10.0,35.0,16.0,17.0,,
94,Bordeaux,Sauternais,Barsac,AOC,Barsac,doux,blanc,10.0,50.0,10.0,13.0,Bordelais ; INAO,
95,Bordeaux,Sauternais,Sauterne,AOC,Sauterne,doux,blanc,10.0,50.0,10.0,13.0,,
96,Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,rouge,2.0,6.0,14.0,16.0,,
97,Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,blanc,2.0,8.0,12.0,14.0,,
98,Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,rosé,1.0,3.0,10.0,12.0,,
99,Bourgogne,Bourgogne,Bourgogne aligoté,AOC,Bourgogne aligoté Primeur,sec,blanc,1.0,2.0,10.0,10.0,,
100,Bourgogne,Bourgogne,Bourgogne aligoté,AOC,Bourgogne aligoté,sec,blanc,2.0,5.0,10.0,12.0,,
101,Bourgogne,Bourgogne,Bourgogne mousseux,AOC,Bourgogne mousseux,Effervescent,blanc,1.0,2.0,6.0,8.0,,
102,Bourgogne,Bourgogne,Bourgogne Passe-tout-grains,AOC,Bourgogne Passe-tout-grains,sec,rouge,1.0,5.0,12.0,14.0,,
103,Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,rouge,2.0,5.0,14.0,14.0,,
104,Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,blanc,1.0,5.0,10.0,12.0,,
105,Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,rosé,1.0,3.0,12.0,,,
106,Bourgogne,Bourgogne,Crémant de Bourgogne,AOC,Crémant de Bourgogne,effervescent,blanc,1.0,5.0,6.0,8.0,,
107,Bourgogne,Bourgogne,Crémant de Bourgogne,AOC,Crémant de Bourgogne,effervescent,rosé,1.0,3.0,8.0,10.0,,
108,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,rouge,2.0,5.0,13.0,15.0,,
109,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,blanc,2.0,6.0,12.0,14.0,,
110,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,rosé,1.0,2.0,8.0,10.0,,
111,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,rouge,2.0,4.0,13.0,15.0,,
112,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,blanc,1.0,4.0,12.0,14.0,,
113,Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,rosé,1.0,2.0,7.0,9.0,,
114,Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,rouge,2.0,5.0,14.0,15.0,,
115,Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,blanc,1.0,4.0,9.0,11.0,,
116,Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,rosé,1.0,3.0,8.0,10.0,,
117,Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,rouge,1.0,4.0,13.0,15.0,,
118,Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,blanc,1.0,3.0,8.0,10.0,,
119,Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,rosé,1.0,2.0,9.0,11.0,,
120,Bourgogne,Chablis,Chablis,AOC,Chablis,sec,blanc,4.0,10.0,10.0,12.0,,
121,Bourgogne,Chablis,Chablis,AOC,Chablis Premier Cru,sec,blanc,5.0,15.0,12.0,12.0,,
122,Bourgogne,Chablis,Chablis Grand Cru,AOC,Chablis Grand Cru,sec,blanc,5.0,15.0,12.0,14.0,,
123,Bourgogne,Chablis,Irancy,AOC,Irancy,sec,rouge,2.0,10.0,15.0,,,
124,Bourgogne,Chablis,Petit Chablis,AOC,Petit Chablis,sec,blanc,1.0,2.0,10.0,,,
125,Bourgogne,Chablis,Saint-Bris,AOC,Saint-Bris,sec,blanc,1.0,6.0,8.0,,,
126,Bourgogne,Côte Chalonnaise,Bouzeron,AOC,Bouzeron,sec,blanc,1.0,5.0,11.0,13.0,,
127,Bourgogne,Côte Chalonnaise,Givry,AOC,Givry,sec,rouge,2.0,10.0,16.0,,,
128,Bourgogne,Côte Chalonnaise,Givry,AOC,Givry Premier Cru,sec,rouge,3.0,15.0,16.0,,,
129,Bourgogne,Côte Chalonnaise,Givry,AOC,Givry,sec,blanc,1.0,5.0,13.0,,,
130,Bourgogne,Côte Chalonnaise,Givry,AOC,Givry Premier Cru,sec,blanc,2.0,8.0,13.0,,,
131,Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey,sec,rouge,3.0,7.0,16.0,,,
132,Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey Premier Cru,sec,rouge,3.0,15.0,16.0,,,
133,Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey,sec,blanc,2.0,6.0,12.0,,,
134,Bourgogne,Côte Chalonnaise,Mercurey,AOC,Mercurey Premier Cru,sec,blanc,2.0,10.0,12.0,,,
135,Bourgogne,Côte Chalonnaise,Montagny,AOC,Montagny,sec,blanc,1.0,4.0,11.0,13.0,,
136,Bourgogne,Côte Chalonnaise,Montagny,AOC,Montagny premier Cru,sec,blanc,1.0,6.0,11.0,13.0,,
137,Bourgogne,Côte Chalonnaise,Rully,AOC,Rully,sec,rouge,2.0,7.0,16.0,,,
138,Bourgogne,Côte Chalonnaise,Rully,AOC,Rully Premier Cru,sec,rouge,3.0,8.0,16.0,,,
139,Bourgogne,Côte Chalonnaise,Rully,AOC,Rully,sec,blanc,2.0,6.0,13.0,,,
140,Bourgogne,Côte Chalonnaise,Rully,AOC,Rully Premier Cru,sec,blanc,3.0,8.0,13.0,,,
141,Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Villages,sec,rouge,5.0,10.0,16.0,,,
142,Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Premier Cru,sec,rouge,8.0,20.0,16.0,,,
143,Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Villages,sec,blanc,3.0,7.0,12.0,,,
144,Bourgogne,Côte de Beaune,Aloxe-Corton,AOC,Aloxe-Corton Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,
145,Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Villages,sec,rouge,5.0,10.0,16.0,,,
146,Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Premier Cru,sec,rouge,8.0,20.0,15.0,16.0,,
147,Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Villages,sec,blanc,3.0,7.0,11.0,13.0,,
148,Bourgogne,Côte de Beaune,Auxey-Duresses,AOC,Auxey-Duresses Premier Cru,sec,blanc,5.0,10.0,11.0,13.0,,
149,Bourgogne,Côte de Beaune,Bâtard-Montrachet,AOC,Bâtard-Montrachet Grand Crus,sec,blanc,10.0,30.0,12.0,14.0,,
150,Bourgogne,Côte de Beaune,Beaune,AOC,Beaune ,sec,rouge,5.0,15.0,15.0,16.0,,
151,Bourgogne,Côte de Beaune,Beaune,AOC,Beaune Premier Cru,sec,rouge,7.0,15.0,15.0,16.0,,
152,Bourgogne,Côte de Beaune,Beaune,AOC,Beaune ,sec,blanc,2.0,8.0,11.0,13.0,,
153,Bourgogne,Côte de Beaune,Beaune,AOC,Beaune Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,
154,Bourgogne,Côte de Beaune,Bienvenues-Bâtard-Montrachet,AOC,Bienvenues-Bâtard-Montrachet Grand Cru,sec,blanc,10.0,30.0,12.0,14.0,,
155,Bourgogne,Côte de Beaune,Blagny,AOC,Blagny,sec,rouge,3.0,6.0,16.0,16.0,,
156,Bourgogne,Côte de Beaune,Blagny,AOC,Blagny Premier Cru,sec,Rouge,5.0,8.0,16.0,16.0,,
157,Bourgogne,Côte de Beaune,Charlemagne,AOC,Charlemagne Grand Cru,sec,blanc,10.0,25.0,12.0,14.0,,
158,Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet,sec,rouge,4.0,10.0,16.0,,,
159,Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet Premier Cru,sec,rouge,6.0,15.0,16.0,,,
160,Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet,sec,blanc,3.0,10.0,12.0,14.0,,
161,Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet Premier Cru,sec,blanc,5.0,15.0,12.0,14.0,,
162,Bourgogne,Côte de Beaune,Chevalier-Montrachet,AOC,Chevalier-Montrachet Grand Cru,sec,blanc,8.0,20.0,12.0,14.0,,
163,Bourgogne,Côte de Beaune,Chorey-lès-Beaune,AOC,Chorey-lès-Beaune,sec,rouge,5.0,10.0,16.0,,,
164,Bourgogne,Côte de Beaune,Chorey-lès-Beaune,AOC,Chorey-lès-Beaune,sec,blanc,3.0,8.0,12.0,13.0,,
165,Bourgogne,Côte de Beaune,Corton,AOC,Corton Grand Cru,sec,rouge,5.0,30.0,16.0,,,
166,Bourgogne,Côte de Beaune,Corton,AOC,Corton Grand Cru,sec,blanc,5.0,15.0,12.0,14.0,,
167,Bourgogne,Côte de Beaune,Corton-Charlemagne ,AOC,Corton-Charlemagne Grand Cru,sec,blanc,5.0,20.0,12.0,14.0,,
168,Bourgogne,Côte de Beaune,Côte de Beaune,AOC,Côte de Beaune,sec,rouge,2.0,6.0,16.0,,,
169,Bourgogne,Côte de Beaune,Côte de Beaune,AOC,Côte de Beaune,sec,blanc,1.0,5.0,12.0,14.0,,
170,Bourgogne,Côte de Beaune,Côte de Beaune Villages,AOC,Côte de Beaune Villages,sec,rouge,3.0,8.0,16.0,,,
171,Bourgogne,Côte de Beaune,Criots-Bâtard-Montrachet,AOC,Criots-Bâtard-Montrachet Grand Cru,sec,blanc,6.0,25.0,12.0,14.0,,
172,Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix,sec,rouge,2.0,7.0,16.0,,,
173,Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix Premier Cru,sec,rouge,4.0,10.0,16.0,,,
174,Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix,sec,blanc,2.0,6.0,13.0,,,
175,Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix Premier Cru,sec,blanc,3.0,8.0,13.0,,,
176,Bourgogne,Côte de Beaune,Maranges,AOC,Maranges,sec,rouge,2.0,5.0,16.0,,,
177,Bourgogne,Côte de Beaune,Maranges,AOC,Maranges Premier Cru,sec,rouge,2.0,7.0,16.0,,,
178,Bourgogne,Côte de Beaune,Maranges,AOC,Maranges,sec,blanc,2.0,5.0,13.0,,,
