Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
Bordeaux,Blayais-Bourgeais,Blaye,AOC,Blaye,sec,rouge,5,10,15,15,Bordelais,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,CÔTES-DE-BLAYE,sec,blanc,3,5,8,11,,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,Blaye-Côtes-de-Bordeaux,sec,rouge,5,10,15,15,,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,CÔTES-DE-BORDEAUX,sec,blanc,3,5,8,11,,
Bordeaux,Blayais-Bourgeais,Bourg,AOC,CÔTES-DE-BOURG,sec,rouge,5,20,15,16,,
Bordeaux,Blayais-Bourgeais,Bourg,AOC,CÔTES-DE-BOURG,sec,blanc,3,10,10,12,,
Bordeaux,Blayais-Bourgeais,Bourg,AOC,Bourgeais,sec,rouge,3,10,15,,,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux rosé,sec,pink,1,3,8,11,Bordelais,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux Blanc,sec,blanc,3,5,8,11,Bordelais ; INAO,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux,sec,rouge,3,5,14,16,Bordelais,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux clairet,sec,clairet,1,3,8,11,Bordelais,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux,moelleux,blanc,5,15,10,13,Bordelais ; INAO,
Bordeaux,Bordeaux,CRÉMANT-DE-BORDEAUX,AOC,CRÉMANT-DE-BORDEAUX,effervescent,blanc,1,3,6,8,Bordelais ; INAO,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux Haut-Benauge,sec,blanc,5,15,8,11,Bordelais,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux Haut-Benauge,moelleux,blanc,5,20,10,12,Bordelais ; INAO,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux supérieur,sec,blanc,3,7,10,13,Bordelais ; INAO,
Bordeaux,Bordeaux,Bordeaux,AOC,Bordeaux supérieur,sec,rouge,5,15,15,15,Bordelais,
Bordeaux,Bordeaux,CÔTES-DE-BORDEAUX,AOC,CÔTES-DE-BORDEAUX,sec,rouge,5,15,15,15,Bordelais,
Bordeaux,Entre-deux-Mers,Cadillac,AOC,Cadillac,doux,blanc,5,30,10,13,Bordelais ; INAO,
Bordeaux,Entre-deux-Mers,Cadillac,AOC,CADILLAC-CÔTES-DE-BORDEAUX,sec,rouge,5,10,15,15,Bordelais,
Bordeaux,Entre-deux-Mers,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,AOC,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,sec,blanc,3,5,8,11,,
Bordeaux,Entre-deux-Mers,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,AOC,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,moelleux,blanc,5,15,10,13,,
Bordeaux,Entre-deux-Mers,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,AOC,CÔTES-DE-BORDEAUX-SAINT-MACAIRE,doux,blanc,5,30,9,12,,
Bordeaux,Entre-deux-Mers,Entre-deux-Mers,AOC,Entre-deux-Mers,sec,blanc,2,5,8,11,,
Bordeaux,Entre-deux-Mers,Entre-deux-Mers,AOC,Entre-deux-Mers Haut-Benauge,sec,blanc,3,7,8,11,,
Bordeaux,Entre-deux-Mers,GRAVES-DE-VAYRES,AOC,GRAVES-DE-VAYRES,sec,rouge,1,5,14,16,,
Bordeaux,Entre-deux-Mers,GRAVES-DE-VAYRES,AOC,GRAVES-DE-VAYRES,sec,blanc,1,3,8,10,,
Bordeaux,Entre-deux-Mers,GRAVES-DE-VAYRES,AOC,GRAVES-DE-VAYRES,doux,blanc,3,10,10,12,,
Bordeaux,Entre-deux-Mers,Loupiac,AOC,Loupiac,doux,blanc,5,20,9,11,,
Bordeaux,Entre-deux-Mers,PREMIÈRES-CÔTES-DE-BORDEAUX,AOC,PREMIÈRES-CÔTES-DE-BORDEAUX,moelleux,blanc,3,15,8,11,,
Bordeaux,Entre-deux-Mers,Sainte-Croix-du-Mont,AOC,Sainte-Croix-du-Mont,doux,blanc,5,30,9,11,,
Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,sec,rouge,5,10,16,18,,
Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,sec,blanc,1,5,10,12,,
Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,moelleux,blanc,3,10,9,11,,
Bordeaux,Entre-deux-Mers,Sainte-Foy-Bordeaux,AOC,Sainte-Foy-Bordeaux,doux,blanc,5,15,8,10,,
Bordeaux,Grave,Cérons,AOC,Céron,doux,blanc,5,20,8,10,,
Bordeaux,Graves,Graves,AOC,Graves,sec,rouge,3,10,16,,,
Bordeaux,Graves,Graves,AOC,Graves,sec,blanc,3,8,10,12,,
Bordeaux,Graves,Graves supérieures,AOC,Graves supérieurs,doux,blanc,2,10,9,12,,
Bordeaux,Graves,Pessac-Léognan,AOC,Pessac-Léognan,sec,rouge,10,35,16,16,,
Bordeaux,Graves,Pessac-Léognan,AOC,Pessac-Léognan,sec,blanc,5,20,10,12,,
Bordeaux,Libournais,Canon-Fronsac,AOC,Canon-Fronsac,sec,rouge,3,15,15,,,
Bordeaux,Libournais,Castillon,AOC,CASTILLON-CÔTES-DE-BORDEAUX,sec,rouge,3,5,15,,Bordelais,
Bordeaux,Libournais,Castillon,AOC,FRANCS-CÔTES-DE-BORDEAUX,sec,rouge,3,12,15,,Bordelais,
Bordeaux,Libournais,Castillon,AOC,FRANCS-CÔTES-DE-BORDEAUX,sec,blanc,3,8,10,12,Bordelais,
Bordeaux,Libournais,Castillon,AOC,FRANCS-CÔTES-DE-BORDEAUX,Doux,blanc,3,50,10,13,Bordelais ; INAO,
Bordeaux,Libournais,Fronsac,AOC,Fronsac,sec,rouge,7,20,16,,,
Bordeaux,Libournais,Lalande-de-Pomerol,AOC,Lalande-de-Pomerol,sec,rouge,8,20,16,18,,
Bordeaux,Libournais,LUSSAC-SAINT-ÉMILION,AOC,LUSSAC-SAINT-ÉMILION,sec,rouge,5,10,16,18,,
Bordeaux,Libournais,MONTAGNE-SAINT-ÉMILION,AOC,MONTAGNE-SAINT-ÉMILION,sec,rouge,5,15,16,18,,
Bordeaux,Libournais,Pomerol,AOC,Pomerol,sec,rouge,10,25,16,18,,
Bordeaux,Libournais,PUISSEGUIN-SAINT-ÉMILION,AOC,PUISSEGUIN-SAINT-ÉMILION,sec,rouge,3,8,16,18,,
Bordeaux,Libournais,SAINT-ÉMILION,AOC,SAINT-ÉMILION,sec,rouge,3,8,16,18,,
Bordeaux,Libournais,SAINT-ÉMILION GRAND CRU,AOC,SAINT-ÉMILION GRAND CRU,sec,rouge,10,35,15,16,,
Bordeaux,Libournais,Saint-Emilion,AOC,Saint-Emilion Premier Cru,sec,rouge,10,25,16,16,,
Bordeaux,Libournais,SAINT-GEORGES-SAINT-ÉMILION,AOC,SAINT-GEORGES-SAINT-ÉMILION,sec,rouge,5,10,16,18,,
Bordeaux,Médoc,Haut-Médoc,AOC,Haut-Médoc,sec,rouge,5,10,15,16,,
Bordeaux,Médoc,Listrac-Médoc,AOC,Listrac-Médoc,sec,rouge,3,10,16,18,,
Bordeaux,Médoc,Margaux,AOC,Margaux,sec,rouge,10,35,16,16,,
Bordeaux,Médoc,Médoc,AOC,Médoc,sec,rouge,3,8,16,18,,
Bordeaux,Médoc,Moulis-en-Médoc,AOC,Moulis-en-Médoc,sec,rouge,3,15,16,18,,
Bordeaux,Médoc,Pauillac,AOC,Pauillac,sec,rouge,10,35,16,16,,
Bordeaux,Médoc,Saint-Estèphe,AOC,Saint-Estèphe,sec,rouge,10,35,16,18,,
Bordeaux,Médoc,Saint-Julien ,AOC,Saint-Julien ,sec,rouge,10,35,16,17,,
Bordeaux,Sauternais,Barsac,AOC,Barsac,doux,blanc,10,50,10,13,Bordelais ; INAO,
Bordeaux,Sauternais,SAUTERNES,AOC,SAUTERNES,doux,blanc,10,50,10,13,,
Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,rouge,2,6,14,16,,
Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,blanc,2,8,12,14,,
Bourgogne,Bourgogne,Bourgogne,AOC,Bourgogne,sec,pink,1,3,10,12,,
Bourgogne,Bourgogne,Bourgogne aligoté,AOC,Bourgogne-aligoté Primeur,sec,blanc,1,2,10,10,,
Bourgogne,Bourgogne,Bourgogne aligoté,AOC,Bourgogne-aligoté,sec,blanc,2,5,10,12,,
Bourgogne,Bourgogne,Bourgogne mousseux,AOC,Bourgogne mousseux,Effervescent,blanc,1,2,6,8,,
Bourgogne,Bourgogne,Bourgogne Passe-tout-grains,AOC,Bourgogne-Passetoutgrain,sec,rouge,1,5,12,14,,
Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,rouge,2,5,14,14,,
Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,blanc,1,5,10,12,,
Bourgogne,Bourgogne,Coteaux Bourguignons,AOC,Coteaux Bourguignons,sec,pink,1,3,12,,,
Bourgogne,Bourgogne,Crémant de Bourgogne,AOC,CRÉMANT-DE-BOURGOGNE,effervescent,blanc,1,5,6,8,,
Bourgogne,Bourgogne,Crémant de Bourgogne,AOC,CRÉMANT-DE-BOURGOGNE,effervescent,pink,1,3,8,10,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,rouge,2,5,13,15,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,blanc,2,6,12,14,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de l'Auxois,IGP,Vins de pays/IGP Coteaux de l'Auxois,sec,pink,1,2,8,10,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,rouge,2,4,13,15,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,blanc,1,4,12,14,,
Bourgogne,Bourgogne,Vins de pays/IGP Coteaux de Tannay,IGP,Vins de pays/IGP Coteaux de Tannay,sec,pink,1,2,7,9,,
Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,rouge,2,5,14,15,,
Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,blanc,1,4,9,11,,
Bourgogne,Bourgogne,Vins de pays/IGP Sainte-Marie-la-Blanche,IGP,Vins de pays/IGP Sainte-Marie-la-Blanche,sec,pink,1,3,8,10,,
Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,rouge,1,4,13,15,,
Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,blanc,1,3,8,10,,
Bourgogne,Bourgogne,Vins de pays/IGP Yonne,IGP,Vins de pays/IGP Yonne,sec,pink,1,2,9,11,,
Bourgogne,Chablis,Chablis,AOC,Chablis,sec,blanc,4,10,10,12,,
Bourgogne,Chablis,Chablis,AOC,Chablis Premier Cru,sec,blanc,5,15,12,12,,
Bourgogne,Chablis,Chablis Grand Cru,AOC,Chablis Grand Cru,sec,blanc,5,15,12,14,,
Bourgogne,Chablis,Irancy,AOC,Irancy,sec,rouge,2,10,15,,,
Bourgogne,Chablis,PETIT-CHABLIS,AOC,PETIT-CHABLIS,sec,blanc,1,2,10,,,
Bourgogne,Chablis,Saint-Bris,AOC,Saint-Bris,sec,blanc,1,6,8,,,
