age_min,age_max,true_area_id,t_min,t_max,color,comments,glass_type,type
1.0,3.0,231,16.0,16.0,rouge,,,sec
1.0,2.0,231,7.0,9.0,blanc,,,sec
1.0,2.0,231,7.0,9.0,rosé,,,sec
10.0,35.0,123,16.0,16.0,rouge,,,sec
3.0,8.0,125,16.0,18.0,rouge,,,sec
5.0,15.0,126,16.0,18.0,rouge,,,sec
1.0,2.0,151,10.0,0.0,blanc,,,sec
2.0,10.0,152,15.0,0.0,rouge,,,sec
3.0,8.0,153,16.0,0.0,rouge,,,sec
1.0,5.0,153,12.0,14.0,blanc,,,sec
3.0,8.0,129,13.0,0.0,blanc,,,sec
2.0,8.0,130,13.0,0.0,blanc,,,sec
5.0,15.0,131,13.0,0.0,blanc,,,sec
3.0,12.0,132,13.0,0.0,blanc,,,sec
2.0,8.0,133,14.0,0.0,rouge,,,sec
2.0,10.0,133,12.0,13.0,blanc,,,sec
1.0,4.0,133,10.0,0.0,rosé,,,sec
2.0,6.0,146,14.0,0.0,rouge,,,sec
2.0,8.0,146,12.0,13.0,blanc,,,sec
1.0,3.0,146,10.0,0.0,rosé,,,sec
1.0,6.0,147,8.0,0.0,blanc,,,sec
5.0,15.0,148,12.0,14.0,blanc,,,sec
5.0,15.0,149,12.0,12.0,blanc,,,sec
4.0,10.0,150,10.0,12.0,blanc,,,sec
4.0,15.0,154,16.0,0.0,rouge,,,sec
3.0,8.0,154,13.0,0.0,blanc,,,sec
2.0,13.0,182,16.0,0.0,rouge,,,sec
3.0,12.0,186,16.0,0.0,rouge,,,sec
2.0,10.0,186,13.0,0.0,blanc,,,sec
5.0,10.0,189,16.0,16.0,rouge,,,sec
5.0,10.0,127,16.0,18.0,rouge,,,sec
3.0,8.0,128,16.0,18.0,rouge,,,sec
5.0,20.0,143,15.0,16.0,rouge,,,sec
3.0,10.0,143,10.0,12.0,blanc,,,sec
5.0,10.0,144,15.0,15.0,rouge,,,sec
3.0,5.0,145,8.0,11.0,blanc,,,sec
7.0,15.0,207,14.0,16.0,rouge,,,sec
2.0,10.0,208,16.0,0.0,rouge,,,sec
2.0,8.0,233,14.0,15.0,rouge,,,sec
2.0,15.0,233,10.0,12.0,blanc,,,sec
1.0,4.0,233,12.0,12.0,rosé,,,sec
1.0,3.0,134,14.0,16.0,rouge,,,sec
1.0,2.0,134,8.0,10.0,rosé,,,sec
2.0,5.0,136,16.0,16.0,rouge,,,sec
1.0,3.0,136,8.0,10.0,blanc,,,sec
1.0,4.0,136,9.0,11.0,rosé,,,sec
2.0,4.0,138,16.0,16.0,rouge,,,sec
1.0,2.0,138,8.0,10.0,rosé,,,sec
1.0,4.0,140,16.0,16.0,rouge,,,sec
2.0,10.0,140,8.0,10.0,rouge,,,doux
2.0,6.0,140,8.0,10.0,blanc,,,sec
1.0,2.0,140,8.0,10.0,rosé,,,sec
2.0,5.0,141,16.0,16.0,rouge,,,sec
1.0,5.0,141,10.0,12.0,blanc,,,sec
1.0,2.0,141,8.0,9.0,rosé,,,sec
2.0,4.0,142,14.0,16.0,rouge,,,sec
1.0,3.0,142,8.0,11.0,blanc,,,sec
1.0,3.0,142,9.0,11.0,rosé,,,sec
1.0,20.0,159,13.0,15.0,blanc,,,sec
1.0,4.0,160,16.0,16.0,rouge,,,sec
1.0,3.0,160,10.0,11.0,blanc,,,sec
1.0,2.0,160,7.0,9.0,rosé,,,sec
2.0,5.0,161,16.0,16.0,rouge,,,sec
1.0,4.0,161,9.0,11.0,blanc,,,sec
1.0,3.0,161,9.0,11.0,rosé,,,sec
1.0,3.0,161,9.0,11.0,blanc,,,sec
1.0,3.0,161,6.0,8.0,blanc,,,effervescent
3.0,10.0,174,16.0,0.0,rouge,,,sec
3.0,8.0,174,10.0,12.0,blanc,,,sec
10.0,35.0,175,16.0,16.0,rouge,,,sec
5.0,20.0,175,10.0,12.0,blanc,,,sec
3.0,5.0,176,8.0,11.0,blanc,,,sec
5.0,15.0,176,15.0,15.0,rouge,,Bordelais,sec
3.0,15.0,177,8.0,11.0,blanc,,,moelleux
5.0,10.0,178,16.0,18.0,rouge,,,sec
1.0,5.0,178,10.0,12.0,blanc,,,sec
3.0,10.0,178,9.0,11.0,blanc,,,moelleux
5.0,15.0,178,8.0,10.0,jaune,,,doux
2.0,9.0,219,16.0,0.0,rouge,,,sec
3.0,7.0,219,12.0,0.0,blanc,,,sec
1.0,4.0,219,12.0,0.0,rosé,,,sec
3.0,8.0,221,16.0,0.0,rouge,,,sec
2.0,5.0,222,16.0,0.0,rouge,,,sec
2.0,5.0,222,13.0,0.0,blanc,,,sec
3.0,7.0,223,16.0,0.0,rouge,,,sec
2.0,8.0,223,13.0,0.0,blanc,,,sec
2.0,6.0,164,15.0,17.0,rouge,,,sec
1.0,4.0,164,10.0,11.0,blanc,,,sec
1.0,2.0,164,8.0,10.0,rosé,,,sec
2.0,6.0,168,16.0,16.0,rouge,,,sec
1.0,3.0,168,11.0,13.0,blanc,,,sec
1.0,2.0,168,9.0,11.0,rosé,,,sec
2.0,6.0,169,16.0,18.0,rouge,,,sec
1.0,3.0,169,11.0,12.0,blanc,,,sec
1.0,2.0,169,8.0,10.0,rosé,,,sec
1.0,5.0,179,14.0,16.0,rouge,,,sec
1.0,3.0,179,8.0,10.0,blanc,,,sec
3.0,10.0,179,10.0,12.0,jaune,,,doux
3.0,5.0,180,8.0,11.0,blanc,,,sec
5.0,15.0,180,10.0,13.0,blanc,,,moelleux
5.0,30.0,180,9.0,12.0,jaune,,,doux
5.0,12.0,224,16.0,0.0,rouge,,,sec
4.0,10.0,224,13.0,0.0,blanc,,,sec
3.0,6.0,236,16.0,16.0,rouge,,,sec
2.0,6.0,172,16.0,16.0,rouge,,,sec
2.0,4.0,172,10.0,12.0,blanc,,,sec
1.0,2.0,172,8.0,10.0,rosé,,,sec
1.0,4.0,193,16.0,16.0,rouge,,,sec
1.0,3.0,193,8.0,10.0,blanc,,,sec
1.0,2.0,193,7.0,9.0,rosé,,,sec
2.0,7.0,194,16.0,16.0,rouge,,,sec
2.0,5.0,194,12.0,14.0,blanc,,,sec
1.0,2.0,194,8.0,10.0,rosé,,,sec
1.0,3.0,195,16.0,17.0,rouge,,,sec
1.0,3.0,195,10.0,12.0,blanc,,,sec
1.0,2.0,195,8.0,10.0,rosé,,,sec
2.0,8.0,212,14.0,16.0,rouge,,,sec
1.0,3.0,212,8.0,10.0,blanc,,,sec
1.0,2.0,212,7.0,9.0,rosé,,,sec
3.0,8.0,217,16.0,16.0,rouge,,,sec
2.0,5.0,217,12.0,14.0,blanc,,,sec
1.0,2.0,217,8.0,10.0,rosé,,,sec
3.0,10.0,218,16.0,16.0,rouge,,,sec
1.0,4.0,218,8.0,10.0,blanc,,,sec
1.0,2.0,218,7.0,9.0,rosé,,,sec
3.0,12.0,226,16.0,16.0,rouge,,,sec
2.0,10.0,226,11.0,13.0,blanc,,,sec
1.0,3.0,226,9.0,11.0,rosé,,,sec
1.0,6.0,227,16.0,18.0,rouge,,,sec
1.0,3.0,227,9.0,11.0,blanc,,,sec
1.0,2.0,227,8.0,10.0,rosé,,,sec
2.0,6.0,232,15.0,17.0,rouge,,,sec
1.0,4.0,232,9.0,11.0,blanc,,,sec
1.0,3.0,232,9.0,11.0,rosé,,,sec
1.0,4.0,239,16.0,16.0,rouge,,,sec
1.0,4.0,239,10.0,12.0,blanc,,,sec
1.0,2.0,239,8.0,10.0,rosé,,,sec
0.0,0.0,242,0.0,0.0,rouge,,,sec
0.0,0.0,242,0.0,0.0,blanc,,,sec
0.0,0.0,242,0.0,0.0,rosé,,,sec
2.0,8.0,247,16.0,16.0,rouge,,,sec
1.0,4.0,247,9.0,11.0,blanc,,,sec
1.0,2.0,247,8.0,10.0,rosé,,,sec
1.0,4.0,248,16.0,16.0,rouge,,,sec
1.0,3.0,248,8.0,10.0,blanc,,,sec
1.0,2.0,248,8.0,10.0,rosé,,,sec
5.0,25.0,234,14.0,16.0,rouge,,,doux
5.0,20.0,234,10.0,12.0,jaune,,,doux
3.0,15.0,235,8.0,10.0,rouge,,,doux
2.0,15.0,235,6.0,8.0,jaune,,,doux
2.0,10.0,235,8.0,10.0,rosé,,,doux
5.0,15.0,345,16.0,18.0,rouge,,,sec
5.0,20.0,381,10.0,13.0,jaune,,,doux
4.0,20.0,323,16.0,16.0,rouge,,,sec
2.0,5.0,323,10.0,12.0,blanc,,,sec
1.0,3.0,323,9.0,11.0,rosé,,,sec
3.0,16.0,322,14.0,16.0,rouge,,,sec
1.0,3.0,322,8.0,10.0,rosé,,,sec
5.0,10.0,332,16.0,18.0,rouge,,,sec
2.0,5.0,362,16.0,0.0,rouge,,,sec
1.0,3.0,362,8.0,0.0,blanc,,,sec
1.0,3.0,362,10.0,0.0,rosé,,,sec
2.0,5.0,353,16.0,16.0,rouge,,,sec
1.0,3.0,353,7.0,9.0,blanc,,,sec
1.0,3.0,353,8.0,10.0,rosé,,,sec
2.0,6.0,327,10.0,12.0,rosé,,,sec
2.0,10.0,294,14.0,15.0,rouge,,,sec
1.0,5.0,294,8.0,10.0,blanc,,,sec
1.0,3.0,294,8.0,10.0,rosé,,,sec
1.0,4.0,294,6.0,8.0,blanc,,,effervescent
1.0,4.0,294,7.0,9.0,rosé,,,effervescent
1.0,4.0,294,10.0,12.0,rouge,,,effervescent
2.0,5.0,380,9.0,11.0,blanc,,,sec
1.0,5.0,293,8.0,10.0,blanc,,,sec
1.0,5.0,341,8.0,10.0,blanc,,,sec
2.0,5.0,297,14.0,16.0,rouge,,,sec
3.0,5.0,297,10.0,12.0,blanc,,,sec
2.0,3.0,297,10.0,12.0,rosé,,,sec
4.0,8.0,314,10.0,11.0,blanc,,,sec
4.0,10.0,314,16.0,18.0,rouge,,,sec
1.0,3.0,314,8.0,10.0,rosé,,,sec
2.0,5.0,333,8.0,10.0,blanc,,,effervescent
2.0,5.0,382,8.0,10.0,blanc,,,effervescent
2.0,6.0,276,16.0,18.0,rouge,,,sec
2.0,5.0,276,11.0,13.0,blanc,,,sec
1.0,3.0,276,8.0,10.0,rosé,,,sec
1.0,4.0,269,15.0,17.0,rouge,,,sec
1.0,2.0,269,8.0,9.0,blanc,,,sec
1.0,2.0,269,8.0,10.0,rosé,,,sec
2.0,5.0,270,16.0,18.0,rouge,,,sec
1.0,3.0,270,9.0,11.0,blanc,,,sec
1.0,2.0,270,8.0,10.0,rosé,,,sec
1.0,4.0,271,14.0,16.0,rouge,,,sec
1.0,2.0,271,8.0,10.0,blanc,,,sec
1.0,2.0,271,8.0,10.0,rosé,,,sec
2.0,4.0,279,16.0,16.0,rouge,,,sec
1.0,2.0,279,8.0,9.0,blanc,,,sec
1.0,2.0,279,8.0,9.0,rosé,,,sec
1.0,4.0,280,16.0,16.0,rouge,,,sec
1.0,2.0,280,9.0,11.0,blanc,,,sec
1.0,3.0,280,8.0,10.0,rosé,,,sec
2.0,6.0,281,15.0,16.0,rouge,,,sec
1.0,2.0,281,8.0,9.0,rosé,,,sec
2.0,6.0,266,14.0,16.0,rouge,,,sec
1.0,4.0,266,8.0,10.0,blanc,,,sec
1.0,2.0,266,8.0,10.0,rosé,,,sec
7.0,60.0,358,14.0,16.0,blanc,,,sec
3.0,10.0,310,14.0,16.0,rouge,,,sec
1.0,7.0,310,11.0,0.0,blanc,,,sec
1.0,2.0,310,10.0,12.0,rosé,,,sec
5.0,15.0,325,11.0,13.0,rouge,,,doux
2.0,6.0,263,14.0,15.0,rouge,,,sec
1.0,5.0,263,11.0,13.0,blanc,,,sec
1.0,2.0,263,9.0,10.0,rosé,,,sec
3.0,8.0,261,16.0,16.0,rouge,,,sec
2.0,6.0,261,8.0,12.0,blanc,,,sec
1.0,2.0,261,8.0,10.0,rosé,,,sec
2.0,5.0,268,16.0,16.0,rouge,,,sec
1.0,3.0,268,8.0,10.0,blanc,,,sec
2.0,4.0,268,8.0,10.0,rosé,,,sec
2.0,4.0,264,16.0,16.0,rouge,,,sec
1.0,4.0,264,8.0,10.0,blanc,,,sec
1.0,2.0,264,8.0,10.0,rosé,,,sec
7.0,40.0,313,16.0,16.0,rouge,,,sec
5.0,20.0,313,11.0,13.0,blanc,,,sec
5.0,50.0,313,10.0,13.0,jaune,,,doux
2.0,10.0,285,11.0,13.0,blanc,,,sec
3.0,20.0,285,15.0,17.0,rouge,,,sec
3.0,15.0,286,10.0,12.0,blanc,,,sec
3.0,12.0,311,12.0,13.0,blanc,,,sec
5.0,50.0,311,11.0,13.0,jaune,,,doux
2.0,10.0,334,16.0,18.0,rouge,,,sec
3.0,10.0,288,16.0,18.0,rouge,,,sec
2.0,8.0,288,8.0,10.0,blanc,,,sec
1.0,3.0,288,10.0,12.0,rosé,,,sec
5.0,15.0,289,16.0,18.0,rouge,,,sec
4.0,12.0,289,8.0,11.0,blanc,,,sec
2.0,8.0,289,8.0,10.0,rosé,,,sec
4.0,12.0,392,16.0,16.0,rouge,,,sec
1.0,1.0,355,13.0,14.0,rouge,,,sec
2.0,5.0,328,14.0,15.0,rouge,,,sec
2.0,4.0,328,8.0,10.0,blanc,,,sec
1.0,3.0,328,6.0,8.0,blanc,,,effervescent
1.0,3.0,328,8.0,10.0,rouge,,,effervescent
2.0,5.0,258,14.0,16.0,rouge,,,sec
1.0,2.0,258,11.0,13.0,blanc,,,sec
1.0,2.0,258,8.0,10.0,rosé,,,sec
3.0,6.0,257,16.0,16.0,rouge,,,sec
4.0,10.0,257,8.0,10.0,blanc,,,sec
2.0,6.0,262,16.0,16.0,rouge,,,sec
1.0,5.0,262,10.0,12.0,blanc,,,sec
1.0,2.0,262,8.0,10.0,rosé,,,sec
5.0,20.0,379,15.0,17.0,rouge,,,sec
3.0,8.0,370,16.0,16.0,rouge,,,sec
3.0,10.0,329,16.0,16.0,rouge,,,sec
3.0,8.0,305,16.0,16.0,rouge,,,sec
2.0,5.0,305,11.0,13.0,blanc,,,sec
1.0,4.0,305,10.0,11.0,rosé,,,sec
3.0,15.0,317,14.0,16.0,rouge,,,sec
2.0,8.0,317,8.0,10.0,blanc,,,sec
1.0,4.0,317,9.0,11.0,rosé,,,sec
2.0,5.0,303,14.0,16.0,rouge,,,sec
1.0,4.0,303,10.0,12.0,blanc,,,sec
1.0,2.0,303,10.0,11.0,rosé,,,sec
3.0,10.0,389,15.0,16.0,rouge,,,sec
1.0,3.0,389,10.0,12.0,rosé,,,sec
3.0,10.0,284,10.0,11.0,blanc,,,sec
1.0,3.0,284,7.0,9.0,blanc,,,effervescent
5.0,20.0,348,16.0,16.0,rouge,,,sec
1.0,10.0,337,16.0,0.0,rouge,,,sec
1.0,6.0,337,11.0,0.0,blanc,,,sec
1.0,4.0,337,10.0,0.0,rosé,,,sec
2.0,8.0,308,15.0,17.0,rouge,,,sec
1.0,5.0,308,10.0,12.0,blanc,,,sec
1.0,2.0,308,11.0,13.0,rosé,,,sec
1.0,2.0,383,7.0,9.0,blanc,,,effervescent
5.0,20.0,372,10.0,13.0,jaune,,,doux
5.0,20.0,372,11.0,14.0,rouge,,,doux
5.0,15.0,372,10.0,13.0,rosé,,,doux
3.0,10.0,357,12.0,0.0,blanc,,,sec
2.0,10.0,290,16.0,18.0,rouge,,,sec
1.0,8.0,290,9.0,11.0,blanc,,,sec
1.0,4.0,290,10.0,12.0,rosé,,,sec
2.0,4.0,391,8.0,10.0,blanc,,,effervescent
2.0,4.0,391,8.0,10.0,rosé,,,effervescent
5.0,15.0,291,16.0,18.0,rouge,,,sec
3.0,8.0,291,11.0,13.0,blanc,,,sec
1.0,4.0,291,10.0,11.0,rosé,,,sec
3.0,10.0,292,16.0,18.0,rouge,,,sec
3.0,8.0,292,8.0,10.0,blanc,,,sec
2.0,4.0,292,9.0,11.0,rosé,,,sec
2.0,5.0,354,10.0,12.0,blanc,,Bordelais ; INAO,sec
2.0,4.0,354,8.0,11.0,rosé,,Bourgogne,sec
3.0,8.0,354,14.0,16.0,rouge,,Bourgogne,sec
1.0,4.0,373,14.0,14.0,rouge,,,sec
4.0,8.0,393,15.0,15.0,rouge,,,sec
2.0,6.0,326,15.0,15.0,rouge,,,sec
